Strompreis [Euro/kWh],Netzlast [kW]
0.3016531,1.368146308
0.2950486,0.20512003
0.2923116,0.294162721
0.2812684,0.273886734
0.2784124,0.263051419
0.273343,0.26326598
0.2705108,0.265518867
0.2692494,0.634026871
0.2669646,0.313687744
0.2650963,0.262515017
0.2739023,0.289335105
0.2774723,0.811683131
0.2675953,0.872940211
0.2707012,0.388140308
0.2585751,0.625229882
0.257635,0.471818981
0.2655009,0.259189326
0.2711415,0.368615284
0.2720816,0.199434171
0.2801974,0.270882885
0.2859094,0.438991194
0.2825655,0.639283608
0.2740689,0.840863386
0.2752113,0.869292679
0.272748,1.368146308
0.2597413,0.20512003
0.2564093,0.301564381
0.2392495,0.262652848
0.2349417,0.304482746
0.2187815,0.265571213
0.2188053,0.297673228
0.2365839,0.278217461
0.2609789,0.496122046
0.2847432,0.823951712
0.2918951,0.782121814
0.2813041,1.068121582
0.2860284,0.604101551
0.2848979,0.577836266
0.2805187,0.567135594
0.2802807,0.687761347
0.2820776,0.342421491
0.2838626,1.129407247
0.284172,0.555462134
0.2972025,0.664414427
0.3048304,0.661496062
0.298452,0.615775011
0.2920974,0.677060675
0.2806139,0.88912853
0.279293,0.777257873
0.2721411,0.456237725
0.2320976,0.294162721
0.2248029,0.273886734
0.2239342,0.263051419
0.2177462,0.26326598
0.2249457,0.265518867
0.2594676,0.634026871
0.2838983,0.313687744
0.3037237,0.262515017
0.2958697,0.289335105
0.2960006,0.811683131
0.2841482,0.872940211
0.2839459,0.388140308
0.2831605,0.625229882
0.2835056,0.471818981
0.2873969,0.259189326
0.3015936,0.368615284
0.3067344,0.199434171
0.309876,0.270882885
0.3133508,0.438991194
0.3014984,0.639283608
0.2865044,0.840863386
0.2767345,0.869292679
0.2667623,1.368146308
0.2523633,0.20512003
0.2164134,0.294162721
0.2127482,0.273886734
0.2120223,0.263051419
0.207536,0.26326598
0.2070243,0.265518867
0.2125697,0.634026871
0.2303483,0.313687744
0.262871,0.262515017
0.2741641,0.289335105
0.2731883,0.811683131
0.2724029,0.872940211
0.2732121,0.388140308
0.2595747,0.625229882
0.2561475,0.471818981
0.2663815,0.259189326
0.2722244,0.368615284
0.2732359,0.199434171
0.2772938,0.270882885
0.2762347,0.438991194
0.272391,0.639283608
0.2629781,0.840863386
0.2604315,0.869292679
0.2627758,1.368146308
0.2586346,0.20512003
0.2655485,0.294162721
0.2664053,0.273886734
0.2643585,0.263051419
0.2662387,0.26326598
0.2677857,0.265518867
0.2751161,0.634026871
0.2950129,0.313687744
0.3051874,0.262515017
0.3221092,0.289335105
0.3174682,0.811683131
0.3126844,0.872940211
0.3063893,0.388140308
0.3019744,0.625229882
0.3054373,0.471818981
0.3163972,0.259189326
0.3245368,0.368615284
0.3347113,0.199434171
0.3596061,0.270882885
0.3502765,0.438991194
0.330344,0.639283608
0.3211572,0.840863386
0.3154928,0.869292679
0.3084956,1.368146308
0.3022243,0.20512003
0.2875159,0.294162721
0.2865639,0.273886734
0.282387,0.263051419
0.2814826,0.26326598
0.2806972,0.265518867
0.2748543,0.634026871
0.2834342,0.313687744
0.2974167,0.262515017
0.303926,0.289335105
0.2967741,0.811683131
0.2860998,0.872940211
0.2831605,0.388140308
0.2749971,0.625229882
0.2680832,0.471818981
0.2714271,0.259189326
0.2724148,0.368615284
0.2755445,0.199434171
0.2850169,0.270882885
0.2826964,0.438991194
0.2900863,0.639283608
0.2827321,0.840863386
0.2865877,0.869292679
0.2836841,1.368146308
0.2807091,0.20512003
0.2788289,0.708490305
0.2782696,0.466569166
0.2796738,0.471155812
0.2782934,0.309549759
0.2791145,0.351805448
0.2804116,0.642813449
0.2830772,0.662526264
0.2912168,0.400697134
0.302379,0.454175465
0.2991303,0.449100879
0.2842553,0.825693729
0.2801498,0.228356379
0.2792335,0.194395687
0.2769011,0.196347451
0.2838507,0.188930748
0.2989875,0.277443242
0.3122917,0.475254516
0.3238942,0.299595763
0.3269644,0.461006639
0.3228946,0.838965723
0.3132437,0.905813638
0.3033072,0.837209136
0.3031882,0.947678974
0.2992969,0.960072675
0.2922402,0.294162721
0.2852787,0.273886734
0.2837674,0.263051419
0.2841125,0.26326598
0.2858499,0.265518867
0.2890748,0.634026871
0.2848146,0.313687744
0.2837555,0.262515017
0.2837436,0.289335105
0.2783291,0.811683131
0.2736643,0.872940211
0.2672264,0.388140308
0.2622641,0.625229882
0.260491,0.471818981
0.2730574,0.259189326
0.2799118,0.368615284
0.2947392,0.199434171
0.3054135,0.270882885
0.2983806,0.438991194
0.2959411,0.639283608
0.2940014,0.840863386
0.2808162,0.869292679
0.2835056,1.368146308
0.2794239,0.20512003
0.2722482,0.382568101
0.2690233,0.334994866
0.2700467,0.282466085
0.2698682,0.282466085
0.2741641,0.271563885
0.2842553,0.284448303
0.3079839,0.278501649
0.3241322,0.312199357
0.3307962,0.60754986
0.317968,0.612505406
0.3066749,0.747296239
0.2975952,0.721527404
0.2963695,0.918758109
0.302022,1.841480654
0.3110184,0.655123096
0.3289279,1.970324833
0.3418156,0.272554995
0.3644137,0.224981759
0.3523709,0.220026214
0.3407327,0.382568101
0.3222401,1.580818968
0.316064,1.042646743
0.3120537,0.495554535
0.308329,0.282466085
0.2983925,0.708490305
0.294644,0.466569166
0.2953342,0.471155812
0.2930375,0.309549759
0.2927281,0.351805448
0.2953342,0.642813449
0.3061156,0.662526264
0.3205979,0.400697134
0.3269406,0.454175465
0.3138506,0.449100879
0.3045924,0.825693729
0.2962029,0.228356379
0.2938229,0.194395687
0.2939776,0.196347451
0.2983806,0.188930748
0.307377,0.277443242
0.3107923,0.475254516
0.3177062,0.299595763
0.3308676,0.461006639
0.3221568,0.838965723
0.3151715,0.905813638
0.3056039,0.837209136
0.3020458,0.947678974
0.2978808,0.960072675
0.2981426,0.708490305
0.29631,0.466569166
0.297143,0.471155812
0.2958697,0.309549759
0.2950605,0.351805448
0.3006297,0.642813449
0.3137554,0.662526264
0.3415062,0.400697134
0.3555006,0.454175465
0.3241798,0.449100879
0.3115301,0.825693729
0.304521,0.228356379
0.3019268,0.194395687
0.2932993,0.196347451
0.292145,0.188930748
0.3030692,0.277443242
0.3099117,0.475254516
0.3173968,0.299595763
0.3160521,0.461006639
0.3004274,0.838965723
0.2913596,0.905813638
0.2805663,0.837209136
0.2771391,0.947678974
0.2600626,0.960072675
0.2687853,0.708490305
0.2617167,0.466569166
0.2629543,0.471155812
0.2640134,0.309549759
0.2686068,0.351805448
0.2786385,0.642813449
0.2949058,0.662526264
0.3152667,0.400697134
0.3228589,0.454175465
0.315469,0.449100879
0.3123512,0.825693729
0.3046757,0.228356379
0.2932279,0.194395687
0.2809233,0.196347451
0.2945845,0.188930748
0.3021172,0.277443242
0.3044734,0.475254516
0.3217998,0.299595763
0.3254412,0.461006639
0.329273,0.838965723
0.3198482,0.905813638
0.311899,0.837209136
0.3102211,0.947678974
0.3001061,0.960072675
0.2892652,0.708490305
0.2841125,0.466569166
0.2818039,0.471155812
0.277865,0.309549759
0.2761276,0.351805448
0.2783172,0.642813449
0.2924425,0.662526264
0.304402,0.400697134
0.3190747,0.454175465
0.3150049,0.449100879
0.3089002,0.825693729
0.3022124,0.228356379
0.2898959,0.194395687
0.2800427,0.196347451
0.2780316,0.188930748
0.275961,0.277443242
