Heizlast_kW,electric_load_kW,wind_infeed
1511.7157974300837,448.4093,240.715
1889.6447467876048,451.488059,232.757
2204.5855379188724,417.479621,281.432
2204.5855379188724,213.571093,347.261
2141.5973796926187,454.045796,417.319
2078.609221466365,395.407293,526.941
2015.6210632401119,196.993164,594.598
1889.6447467876048,691.441741,556.483
1637.692113882591,433.157606,676.9
1574.7039556563373,806.871494,939.536
1511.7157974300837,1360.384865,1023.053
1385.7394809775767,1275.363771,1078.952
1322.7513227513234,1008.364381,1245.339
1196.7750062988164,712.377298,1693.068
1133.7868480725629,740.275584,1990.391
1133.7868480725629,698.025548,2066.022
1070.7986898463093,951.573132,2163.542
1007.8105316200559,690.968086,2202.914
944.8223733938024,639.95543,2175.061
944.8223733938024,1504.612848,2128.134
1007.8105316200559,389.818162,2105.136
1007.8105316200559,567.817756,2059.754
944.8223733938024,745.438425,1990.25
1259.76316452507,570.422859,1898.634
1511.7157974300837,230.670043,1796.918
1889.6447467876048,641.234299,1757.115
2204.5855379188724,270.078148,1645.998
2204.5855379188724,335.347824,1486.432
2141.5973796926187,277.467168,1372.206
2078.609221466365,560.428736,1439.813
2015.6210632401119,297.976435,1416.22
1889.6447467876048,770.257953,1245.196
1637.692113882591,342.831575,1072.015
1574.7039556563373,200.166653,1215.592
1511.7157974300837,216.55512,1265.021
1385.7394809775767,213.476362,1277.998
1322.7513227513234,290.918974,1463.137
1196.7750062988164,815.918306,1454.231
1133.7868480725629,634.176838,1420.058
1133.7868480725629,797.966778,1486.284
1070.7986898463093,721.708303,1684.652
1007.8105316200559,559.102501,1864.518
944.8223733938024,581.17483,2059.47
944.8223733938024,609.594137,1786.407
1007.8105316200559,425.484393,1608.724
1007.8105316200559,428.799978,1418.735
944.8223733938024,178.378517,1369.922
1259.76316452507,233.701435,1250.549
1511.7157974300837,218.307644,1264.924
1889.6447467876048,604.526027,1299.568
2204.5855379188724,291.06107,1334.657
2204.5855379188724,308.870503,1417.563
2141.5973796926187,152.801141,1356.256
2078.609221466365,220.154899,1310.415
2015.6210632401119,146.122604,1168.532
1889.6447467876048,568.528238,1053.987
1637.692113882591,623.756425,1224.267
1574.7039556563373,871.80961,1459.224
1511.7157974300837,1109.726576,1452.699
1385.7394809775767,1081.875655,1280.994
1322.7513227513234,439.978239,1074.968
1196.7750062988164,660.796255,1199.416
1133.7868480725629,858.594633,1353.141
1133.7868480725629,627.166742,1288.083
1070.7986898463093,298.592186,1183.837
1007.8105316200559,793.514419,1100.883
