temperature,heat_load,electrical_load,PV,solar_thermal_eff,hp_COP,hp_el_p_max_pu
1.455,6.641800000000001,0.4122062606666667,0.0,0.0,2.7979055555555554,1.5335292022792024
1.597,6.7056000000000004,0.6247511006666667,0.0,0.0,2.806267777777778,1.509761396011396
1.829,6.787000000000001,0.31861200933333333,0.0,0.0,2.8199300000000003,1.4709294871794871
2.045,6.729800000000001,0.4953800993333333,0.0,0.0,2.83513,1.4421923076923078
2.224,6.8574,0.16170585733333334,0.0,0.0,2.8555360000000003,1.4417333333333333
2.367,6.921200000000001,0.2964133726666667,0.0,0.0,2.871838,1.4413666666666667
2.517,6.8992,0.30730744066666665,0.0,0.0,2.888938,1.4409820512820513
2.723,6.8222000000000005,0.18182041133333335,0.0,0.0,2.912422,1.440453846153846
3.151,6.782600000000001,0.195935334,0.0,0.0,2.961214,1.4393564102564103
3.654,6.8772,0.4451726573333334,0.0,0.0,3.018556,1.4380666666666666
3.724,7.119200000000001,0.26821510466666665,0.0,0.0,3.026536,1.4378871794871795
3.755,7.253400000000001,0.06031208533333333,0.0,0.0,3.03007,1.4378076923076923
3.955,7.235800000000001,0.27926705733333335,0.008,0.0,3.05287,1.4372948717948717
4.29,7.051000000000001,0.9626250853333334,0.032,0.0,3.09106,1.4364358974358973
4.671,6.758400000000001,0.30414974,0.05,0.0,3.134494,1.4354589743589743
5.072,6.479,0.432983932,0.058,0.0,3.180208,1.4344307692307692
5.288,6.206200000000001,0.31100195066666664,0.053,0.0,3.204832,1.433876923076923
5.242,5.9202,0.42177409400000004,0.02,0.0,3.199588,1.4339948717948718
5.08,5.7134,0.253721258,0.005,0.0,3.18112,1.4344102564102563
4.834,5.6782,0.28504565,0.0,0.0,3.153076,1.4350410256410255
4.623,5.933400000000001,0.14702254866666667,0.0,0.0,3.129022,1.4355820512820512
4.441,6.419600000000001,0.6156253453333334,0.0,0.0,3.1082739999999998,1.4360487179487178
4.273,6.4966,2.0146131026666665,0.0,0.0,3.0891219999999997,1.4364794871794873
4.109,6.149,0.6407922206666666,0.0,0.0,3.070426,1.4368999999999998
3.991,5.904800000000001,0.6921048586666667,0.0,0.0,3.056974,1.437202564102564
3.9,5.986200000000001,0.2456059673333333,0.0,0.0,3.0466,1.4374358974358974
3.741,6.0852,0.585248264,0.0,0.0,3.028474,1.4378435897435897
3.577,6.0632,0.5195996646666666,0.0,0.0,3.009778,1.4382641025641023
3.445,6.2106,0.4026068506666667,0.0,0.0,2.99473,1.438602564102564
3.346,6.300800000000001,0.16713710266666668,0.0,0.0,2.983444,1.4388564102564103
3.37,6.3162,0.2832141833333333,0.0,0.0,2.98618,1.4387948717948718
3.295,6.281000000000001,0.3111598353333333,0.0,0.0,2.97763,1.4389871794871794
3.183,6.281000000000001,0.5464716980000001,0.0,0.0,2.964862,1.4392743589743588
3.07,6.4064000000000005,0.2648363653333333,0.0,0.0,2.95198,1.4395641025641024
2.914,6.670400000000001,0.4828756046666667,0.0,0.0,2.934196,1.4399641025641026
2.747,6.835400000000001,0.19868253333333333,0.0,0.0,2.915158,1.4403923076923075
2.742,6.8574,0.18633592333333335,0.008,0.0,2.914588,1.440405128205128
2.955,6.716600000000001,0.24604804533333333,0.026,0.0,2.93887,1.4398589743589743
3.386,6.4702,0.326032606,0.047,0.0,2.988004,1.438753846153846
3.97,6.232600000000001,0.5265781833333333,0.067,0.0,3.05458,1.43725641025641
4.436,5.992800000000001,0.4257527973333333,0.073,0.0,3.107704,1.4360615384615385
4.687,5.7376000000000005,0.472770962,0.066,0.0,3.136318,1.4354179487179486
4.419,5.555000000000001,0.478107476,0.033,0.0,3.105766,1.4361051282051283
3.559,5.535200000000001,0.66264351,0.0,0.0,3.007726,1.4383102564102563
3.153,5.797,0.41517449933333334,0.0,0.0,2.961442,1.4393512820512822
2.786,6.281000000000001,0.35268360066666665,0.0,0.0,2.919604,1.4402923076923078
2.325,6.3668000000000005,0.9575411866666667,0.0,0.0,2.86705,1.4414743589743588
1.997,6.032400000000001,0.5913110493333333,0.0,0.0,2.8298233333333336,1.4428098290598292
1.753,5.797,0.8219495146666667,0.0,0.0,2.8154544444444447,1.4836502849002846
1.539,5.8762,0.541577262,0.0,0.0,2.802852222222222,1.5194693732193731
1.557,5.975200000000001,0.37074564933333337,0.0,0.0,2.8039122222222224,1.5164565527065526
1.549,5.9510000000000005,0.23496451533333332,0.0,0.0,2.8034411111111113,1.5177955840455841
1.49,6.091800000000001,0.3358846326666667,0.0,0.0,2.7999666666666667,1.52767094017094
1.408,6.175400000000001,0.2316173526666667,0.0,0.0,2.7951377777777777,1.5413960113960115
1.424,6.184200000000001,0.5375985593333333,0.0,0.0,2.79608,1.5387179487179488
1.295,6.1424,0.3875130406666667,0.0,0.0,2.788483333333333,1.560309829059829
1.159,6.1336,0.17073688133333334,0.0,0.0,2.7804744444444447,1.5830733618233617
1.187,6.248,0.34557877400000003,0.0,0.0,2.7821233333333333,1.5783867521367523
1.262,6.494400000000001,0.22665976266666665,0.0,0.0,2.78654,1.5658333333333332
1.269,6.644000000000001,0.23891164133333334,0.0,0.0,2.7869522222222223,1.564661680911681
