PV,wind,electrical load
0.0,0.047,76572.76
0.0,0.043,72995.47
0.0,0.04,69562.41
0.0,0.043,66000.43
0.0,0.051,62584.78
0.0,0.063,58978.49
0.0,0.079,56888.36
0.0,0.091,56118.42
0.0,0.088,55794.41
0.0,0.08,56768.79
0.0,0.071,59239.43
0.0,0.062,64617.45
0.021,0.051,71482.09
0.239,0.041,75790.34
0.453,0.029,76677.82
0.56,0.016,77261.67
0.582,0.009,77497.82
0.531,0.007,77342.71
0.402,0.005,75993.05
0.189,0.004,75746.54
0.005,0.005,75348.23
0.0,0.007,74875.59
0.0,0.01,76038.09
0.0,0.015,77695.73
0.0,0.02,77486.5
0.0,0.023,73915.11
0.0,0.024,69829.5
0.0,0.022,66877.41
0.0,0.021,63403.77
0.0,0.021,60639.97
0.0,0.022,58770.31
0.0,0.022,57214.15
0.0,0.021,57442.67
0.0,0.019,57879.73
0.0,0.019,60441.4
0.0,0.02,64392.27
0.008,0.023,71401.54
0.141,0.021,75284.97
0.289,0.013,75189.51
0.319,0.009,75846.64
0.25,0.011,76028.46
0.151,0.012,75736.18
0.079,0.012,75432.34
0.034,0.012,73838.71
0.0,0.015,72737.33
0.0,0.013,72138.08
0.0,0.008,74113.98
0.0,0.006,75446.6
0.0,0.01,74023.32
0.0,0.015,70542.27
0.0,0.02,66382.08
0.0,0.025,63682.49
0.0,0.031,61185.93
0.0,0.039,57172.33
0.0,0.052,55196.95
0.0,0.06,53527.98
0.0,0.056,52644.49
0.0,0.049,52065.11
0.0,0.043,51679.82
0.0,0.041,51755.49
0.009,0.04,53113.69
0.113,0.037,56525.44
0.23,0.031,59304.67
0.304,0.019,61555.33
0.293,0.009,62606.43
0.233,0.005,63034.5
0.141,0.004,62245.49
0.049,0.008,60831.62
0.0,0.014,59840.41
0.0,0.027,59886.1
0.0,0.039,62248.87
0.0,0.044,64014.71
0.0,0.04,62628.13
0.0,0.036,59373.08
0.0,0.032,56070.37
0.0,0.03,54773.52
0.0,0.03,52022.46
0.0,0.031,49494.14
0.0,0.035,47576.49
0.0,0.041,46189.62
0.0,0.047,45681.0
0.0,0.05,45838.6
0.0,0.048,45856.49
0.0,0.042,45399.46
0.011,0.034,46525.91
0.114,0.024,49274.03
0.24,0.013,52340.51
0.379,0.006,55261.12
0.521,0.007,57884.69
0.429,0.018,59206.68
0.286,0.03,57757.47
0.116,0.04,55811.34
0.004,0.047,55314.64
0.0,0.049,55134.46
0.0,0.045,58160.54
0.0,0.037,61092.09
0.0,0.027,59839.07
0.0,0.02,57801.42
0.0,0.016,55679.04
0.0,0.015,55391.57
0.0,0.014,53043.83
0.0,0.014,50461.54
0.0,0.02,48845.04
0.0,0.035,47798.95
0.0,0.05,48414.83
0.0,0.059,49447.99
0.0,0.062,52128.93
0.0,0.064,58679.67
0.013,0.07,67073.81
0.129,0.067,71049.08
0.28,0.041,72147.71
0.381,0.029,72597.15
0.431,0.033,73335.48
0.466,0.038,73588.58
0.31,0.039,73559.72
0.111,0.035,71917.58
0.004,0.034,71185.88
0.0,0.034,70220.09
0.0,0.036,71465.81
