,load_profile_normalized
628,0.08503294634452463
629,0.10511452776906181
630,0.11107624725447128
631,0.1895199246940697
632,0.15453404455600878
633,0.1253529965484782
634,0.16018198933165984
635,0.14951364919987448
636,0.12394101035456542
637,0.12660809538751178
638,0.1095073737056793
639,0.10652651396297456
640,0.10150611860684029
641,0.11342955757765925
642,0.18010668340131783
643,0.1909319108879824
644,0.20787574521493565
645,0.13994352055224346
646,0.10150611860684029
647,0.09993724505804831
648,0.10636962660809539
649,0.08848446815186696
650,0.09319108879824285
651,0.1005647944775651
652,0.09287731408848446
653,0.09774082208973955
654,0.11248823344838406
655,0.17822403514276744
656,0.2629432067775337
657,0.26074678380922495
658,0.2544712896140571
659,0.2149356761844995
660,0.21713209915280826
661,0.2144650141198619
662,0.1961091935989959
663,0.21728898650768744
664,0.22795732663947288
665,0.2285848760589896
666,0.23187951051145278
667,0.22874176341386884
668,0.19563853153435828
669,0.183401317853781
670,0.1292751804204581
671,0.13241292751804204
672,0.09538751176655161
673,0.09930969563853152
674,0.0916222152494509
675,0.0911515531848133
676,0.09852525886413555
677,0.10323187951051142
678,0.20175713837464698
679,0.25243175400062756
680,0.4590524003765296
681,0.5720112958895512
682,0.9366175086288046
683,0.7314088484468152
684,0.5986821462190147
685,0.585346721054283
686,0.419516786946972
687,0.32993410731095074
688,0.24756824599937244
689,0.27000313774709755
690,0.25101976780671476
691,0.24678380922497647
692,0.18089112017571385
693,0.1672419203012237
694,0.1294320677753373
695,0.13319736429243803
696,0.0913084405396925
697,0.1004079071226859
698,0.08879824286162533
699,0.09240665202384689
700,0.09083777847505489
701,0.1057420771885786
702,0.19281455914653278
703,0.2489802321932852
704,0.5290241606526513
705,0.5575776592406652
706,0.6543771572011295
707,0.7401945403200503
708,0.57420771885786
709,0.5775023533103233
710,0.5572638845309068
711,0.41386884217132097
712,0.2525886413555068
713,0.2968308754314402
714,0.24584248509570128
715,0.17147787888296206
716,0.12550988390335738
717,0.14778788829620335
718,0.11217445873862565
719,0.11609664261060558
720,0.12550988390335738
721,0.09695638531534356
722,0.09617194854094759
723,0.09303420144336365
724,0.0960150611860684
725,0.10778161280200814
726,0.2058362096015061
727,0.24129275180420456
728,0.4532475682459994
729,0.450580483213053
730,0.43975525572638846
731,0.4308126764982743
732,0.488860997803577
733,0.45293379353624086
734,0.3547223093818637
735,0.29024160652651393
736,0.2585503608409162
737,0.17053655475368684
738,0.19108879824286162
739,0.19030436146846563
740,0.17743959836837148
741,0.18245999372450578
742,0.15155318481330401
743,0.16363351113900218
744,0.11797929086915593
745,0.11091935989959209
746,0.10778161280200814
747,0.11311578286790082
748,0.10652651396297458
749,0.11750862880451834
750,0.2996548478192657
751,0.35393787260746784
752,0.4791339818010668
753,0.48540947599623463
754,0.7256040163162849
